"","name","league","primary","secondary","tertiary","quaternary","division","location","mascot","sportslogos_name","logo"
"92","Dayton Flyers","ncaa","#CE1141","#004B8D","#F80228","#0200D1","A-10","Dayton","Flyers","Dayton Flyers","http://content.sportslogos.net/logos/31/655/thumbs/65570832015.gif"
"93","DC United","mls","#000000","#dd0000",NA,NA,NA,"DC","United","DC United","http://content.sportslogos.net/logos/9/325/thumbs/32590012016.gif"
"94","Denver Broncos","nfl","#002244","#fb4f14","#00234c","#ff5200","AFC West","Denver","Broncos","Denver Broncos","http://content.sportslogos.net/logos/7/161/thumbs/9ebzja2zfeigaziee8y605aqp.gif"
"95","Denver Nuggets","nba","#4d90cd","#fdb927","#0f586c",NA,"Northwest","Denver","Nuggets","Denver Nuggets","http://content.sportslogos.net/logos/6/229/thumbs/22989262019.gif"
"96","Denver Pioneers","ncaa","#8B2332","#8B6F4B",NA,NA,"Summit","Denver","Pioneers","Denver Pioneers","http://content.sportslogos.net/logos/31/659/thumbs/65958742007.gif"
"97","DePaul Blue Demons","ncaa","#005EB8","#E4002B",NA,NA,"Big East","DePaul","Blue Demons","DePaul Blue Demons","http://content.sportslogos.net/logos/31/656/thumbs/2467.gif"
"98","Detroit Lions","nfl","#005a8b","#b0b7bc","#000000","#004e89","NFC North","Detroit","Lions","Detroit Lions","http://content.sportslogos.net/logos/7/170/thumbs/17013982017.gif"
"99","Detroit Mercy Titans","ncaa","#A6093D","#002D72","#D7D2CB",NA,"Horizon","Detroit","Mercy Titans","Detroit Titans","http://content.sportslogos.net/logos/31/660/thumbs/66041452016.gif"
"100","Detroit Pistons","nba","#ed174c","#006bb6","#0f586c",NA,"Central","Detroit","Pistons","Detroit Pistons","http://content.sportslogos.net/logos/6/223/thumbs/22321642018.gif"
"101","Detroit Red Wings","nhl","#c8102e",NA,NA,NA,"Atlantic","Detroit","Red Wings","Detroit Red Wings","http://content.sportslogos.net/logos/1/11/thumbs/yo3wysbjtagzmwj37tb11u0fh.gif"
